__time,/foil_consigne/servo_aileron_left,/foil_consigne/servo_aileron_right,/foil_consigne/servo_foil,/foil_consigne/servo_gouvernail,/foil_consigne/thruster
1707317327.636010,2.524025679,-0.435022473,-1.479524016,0.000000000,40.000000000
1707317327.736081,2.462171555,-0.495159686,-1.478665709,0.000000000,40.000000000
1707317327.836111,2.425667286,-0.532205999,-1.478936672,0.000000000,40.000000000
1707317327.936188,2.397651672,-0.559684515,-1.478668094,0.000000000,40.000000000
1707317328.036061,2.400357008,-0.554395556,-1.477376223,0.000000000,40.000000000
1707317328.135712,2.436057806,-0.513247669,-1.474652767,0.000000000,40.000000000
1707317328.235999,2.474948883,-0.476930976,-1.475939989,0.000000000,40.000000000
1707317328.335900,2.523459196,-0.428087771,-1.475773454,0.000000000,40.000000000
1707317328.435974,2.538003445,-0.411661506,-1.474832535,0.000000000,40.000000000
1707317328.536079,2.529803753,-0.424402773,-1.477103233,0.000000000,40.000000000
1707317328.635716,2.505136967,-0.446151078,-1.475643992,0.000000000,40.000000000
1707317328.735638,2.463377476,-0.491526455,-1.477452040,0.000000000,40.000000000
1707317328.836062,2.437002420,-0.519155085,-1.478078723,0.000000000,40.000000000
1707317328.935942,2.420670509,-0.531218708,-1.475944638,0.000000000,40.000000000
1707317329.035882,2.428319693,-0.524198353,-1.476258993,0.000000000,40.000000000
1707317329.135711,2.460596561,-0.489837110,-1.475216866,0.000000000,40.000000000
1707317329.235873,2.488317728,-0.462506115,-1.475411892,0.000000000,40.000000000
1707317329.335714,2.517547607,-0.435305208,-1.476426482,0.000000000,40.000000000
1707317329.435745,2.530503511,-0.420694470,-1.475598931,0.000000000,40.000000000
1707317329.535773,2.531155825,-0.422860742,-1.477008224,0.000000000,40.000000000
1707317329.635662,2.524780989,-0.428330451,-1.476555705,0.000000000,40.000000000
1707317329.735824,2.500332832,-0.454750597,-1.477541685,0.000000000,40.000000000
1707317329.835743,2.479104757,-0.476903975,-1.478004456,0.000000000,40.000000000
1707317329.935834,2.445355654,-0.508400321,-1.476878047,0.000000000,40.000000000
1707317330.035515,2.434538364,-0.521013498,-1.477775931,0.000000000,40.000000000
1707317330.135534,2.438481331,-0.511139452,-1.474810481,0.000000000,40.000000000
1707317330.235679,2.453139067,-0.497026056,-1.475082517,0.000000000,40.000000000
1707317330.335613,2.483605862,-0.467794716,-1.475700378,0.000000000,40.000000000
1707317330.435448,2.499811888,-0.449151486,-1.474481702,0.000000000,40.000000000
1707317330.535723,2.515419006,-0.443180799,-1.479299903,0.000000000,40.000000000
1707317330.635418,2.510306835,-0.448143274,-1.479225039,0.000000000,40.000000000
1707317330.735449,2.488389730,-0.466994077,-1.477692008,0.000000000,40.000000000
1707317330.835445,2.469530344,-0.487519741,-1.478525043,0.000000000,40.000000000
1707317330.935463,2.448476076,-0.505106270,-1.476791263,0.000000000,40.000000000
1707317331.035521,2.442769766,-0.512191415,-1.477480531,0.000000000,40.000000000
1707317331.135477,2.452266693,-0.502790630,-1.477528691,0.000000000,40.000000000
1707317331.235143,2.465305805,-0.490743756,-1.478024721,0.000000000,40.000000000
1707317331.335260,2.487080812,-0.469969809,-1.478525400,0.000000000,40.000000000
1707317331.435319,2.496654272,-0.459489346,-1.478071809,0.000000000,40.000000000
1707317331.535324,2.500264883,-0.456260741,-1.478262901,0.000000000,40.000000000
1707317331.635338,2.493052006,-0.461993665,-1.477522731,0.000000000,40.000000000
1707317331.735378,2.477107763,-0.480824143,-1.478965998,0.000000000,40.000000000
1707317331.835564,2.463072062,-0.495099396,-1.479085684,0.000000000,40.000000000
1707317331.935558,2.451273441,-0.507266343,-1.479269981,0.000000000,40.000000000
1707317332.035431,2.448570728,-0.509452641,-1.479011655,0.000000000,40.000000000
1707317332.135199,2.459748030,-0.497353256,-1.478550673,0.000000000,40.000000000
1707317332.235317,2.468991280,-0.489157766,-1.479074478,0.000000000,40.000000000
1707317332.335141,2.488443136,-0.470584095,-1.479513645,0.000000000,40.000000000
1707317332.435167,2.494338512,-0.464517146,-1.479427814,0.000000000,40.000000000
1707317332.535102,2.497198343,-0.463478565,-1.480338454,0.000000000,40.000000000
1707317332.635056,2.488381863,-0.471364945,-1.479873419,0.000000000,40.000000000
1707317332.735268,2.471295357,-0.490271717,-1.480783463,0.000000000,40.000000000
1707317332.835277,2.462070704,-0.498996496,-1.480533600,0.000000000,40.000000000
1707317332.935288,2.455537558,-0.501876593,-1.478707075,0.000000000,40.000000000
1707317333.035028,2.458331108,-0.502304494,-1.480317831,0.000000000,40.000000000
1707317333.135069,2.469259977,-0.492641091,-1.480950475,0.000000000,40.000000000
1707317333.235298,2.479248285,-0.482195199,-1.480721712,0.000000000,40.000000000
